"","TYPE","point","lon","lat"
"45","supermarket/shop(food)",10,44.4627915985677,40.1451900668856
"46","supermarket/shop(food)",10,44.4636465252236,40.1453907156543
"47","supermarket/shop(food)",10,44.4623228576524,40.1459467884395
"48","supermarket/shop(food)",10,44.463002792491,40.1456476028944
"49","mall/shop(non-food)",14,44.4630903782312,40.145675756743
"50","healthcare",10,44.463137270289,40.1457298670338
"51","bank/atm",10,44.4632041049462,40.1457219015622
"52","supermarket/shop(food)",10,44.4634592264868,40.1454889797735
"53","healthcare",10,44.4637020411081,40.1455965825977
"54","mall/shop(non-food)",14,44.4638018439362,40.1456393627414
"55","restaurant/cafe",6,44.4643208905074,40.1463092152509
"56","School/kindergarten",7,44.4652300754064,40.145377806032
"57","School/kindergarten",7,44.4682187703567,40.1485311830593
"58","School/kindergarten",7,44.4722738553807,40.1502153778533
"59","playground/attraction",4,44.4546944540912,40.1599794926282
"60","place_of_worship",3,44.454233887845,40.1604350753809
"61","state institutions/NGO",4,44.4582979560219,40.1557430994613
"62","playground/attraction",4,44.4595083460358,40.1596319679848
"63","sport/fitness",4,44.4628013003728,40.1570370107412
